"Name
","Description
"
"'+mat_texture_list'
","
"
"'-mat_texture_list'
","
"
"mat_texture_list_exclude
","'load' - loads the exclude list file, 'reset' - resets all loaded exclude information, 'save' - saves exclude list file
"
"mat_texture_list_txlod
","Adjust LOD of the last viewed texture +1 to inc resolution, -1 to dec resolution
"
"mat_texture_list_txlod_sync
","'reset' - resets all run-time changes to LOD overrides, 'save' - saves all changes to material content files
"
"mat_updateconvars
","updates the video config convars
"
"maxplayers
","Change the maximum number of players allowed on this server.
"
"mdlcache_dump_dictionary_state
","Dump the state of the MDLCache Dictionary.
"
"mem_compact
","
"
"mem_dump
","Dump memory stats to text file.
"
"mem_dumpvballocs
","Dump VB memory allocation stats.
"
"mem_eat
","
"
"mem_incremental_compact
","
"
"mem_test
","
"
"mem_vcollide
","Dumps the memory used by vcollides
"
"mem_verify
","Verify the validity of the heap
"
"memory
","Print memory stats.
"
"menuselect
","menuselect
"
"minisave
","Saves game (for current level only!)
"
"mm_datacenter_debugprint
","Shows information retrieved from data center
"
"mm_debugprint
","Show debug information about current matchmaking session
"
"mm_dlc_debugprint
","Shows information about dlc
"
"mm_queue_show_stats
","Display global server stats
"
"mod_combiner_info
","debug spew for Combiner Info
"
"mod_DumpWeaponWiewModelCache
","Dumps the weapon view model cache contents
"
"mod_DumpWeaponWorldModelCache
","Dumps the weapon world model cache contents
"
"'+movedown'
","
"
"'-movedown'
","
"
"'+moveleft'
","
"
"'-moveleft'
","
"
"'+moveright'
","
"
"'-moveright'
","
"
"'+moveup'
","
"
"'-moveup'
","
"
"movie_fixwave
","Fixup corrupted .wav file if engine crashed during startmovie/endmovie, etc.
"
"mp_backup_restore_list_files
","Lists recent backup round files matching the prefix, most recent files first, accepts a numeric parameter to limit the number o
"
"mp_backup_restore_load_file
","Loads player cash, KDA, scores and team scores; resets to the next round after the backup
"
"mp_bot_ai_bt_clear_cache
","Clears the cache for behavior tree files.
"
"mp_debug_timeouts
","Prints time outs to the console for debugging
"
"mp_disable_autokick
","Prevents a userid from being auto-kicked
"
"mp_dump_timers
","Prints round timers to the console for debugging
"
"mp_forcerespawnplayers
","Force all players to respawn.
"
"mp_forcewin
","Forces team to win
"
"mp_guardian_add_bounds_pt
","mp_guardian_add_bounds_pt
"
"mp_guardian_clear_all_bounds
","mp_guardian_clear_all_bounds
"
"mp_guardian_emit_bounds_config
","mp_guardian_emit_bounds_config
"
"mp_guardian_new_bounds
","mp_guardian_new_bounds
"
"mp_guardian_shoot_point
","mp_guardian_shoot_point
"
"mp_pause_match
","Pause the match in the next freeze time
"
"mp_scrambleteams
","Scramble the teams and restart the game
"
"mp_swapteams
","Swap the teams and restart the game
"
"mp_switchteams
","Switch teams and restart the game
"
"mp_tournament_restart
","Restart Tournament Mode on the current level.
"
"mp_unpause_match
","Resume the match
"
"mp_warmup_end
","End warmup immediately.
"
"mp_warmup_start
","Start warmup.
"
"ms_player_dump_properties
","Prints a dump the current players property data
"
"multvar
","Multiply specified convar value.
"
"nav_add_to_selected_set
","Add current area to the selected set.
"
"nav_add_to_selected_set_by_id
","Add specified area id to the selected set.
"
"nav_analyze
","Re-analyze the current Navigation Mesh and save it to disk.
"
"nav_avoid
","Toggles the 'avoid this area when possible' flag used by the AI system.
"
"nav_begin_area
","Defines a corner of a new Area or Ladder. To complete the Area or Ladder, drag the opposite corner to the desired location and
"
"nav_begin_deselecting
","Start continuously removing from the selected set.
"
"nav_begin_drag_deselecting
","Start dragging a selection area.
"
"nav_begin_drag_selecting
","Start dragging a selection area.
"
"nav_begin_selecting
","Start continuously adding to the selected set.
"
"nav_begin_shift_xy
","Begin shifting the Selected Set.
"
"nav_build_ladder
","Attempts to build a nav ladder on the climbable surface under the cursor.
"
"nav_check_connectivity
","Checks to be sure every (or just the marked) nav area can get to every goal area for the map (hostages or bomb site).
"
"nav_check_file_consistency
","Scans the maps directory and reports any missing/out-of-date navigation files.
"
"nav_check_floor
","Updates the blocked/unblocked status for every nav area.
"
"nav_check_stairs
","Update the nav mesh STAIRS attribute
"
"nav_chop_selected
","Chops all selected areas into their component 1x1 areas
"
"nav_clear_attribute
","Remove given nav attribute from all areas in the selected set.
"
"nav_clear_selected_set
","Clear the selected set.
"
"nav_clear_walkable_marks
","Erase any previously placed walkable positions.
"
"nav_compress_id
","Re-orders area and ladder ID's so they are continuous.
"
"nav_connect
","To connect two Areas, mark the first Area, highlight the second Area, then invoke the connect command. Note that this creates a
"
"nav_corner_lower
","Lower the selected corner of the currently marked Area.
"
"nav_corner_place_on_ground
","Places the selected corner of the currently marked Area on the ground.
"
"nav_corner_raise
","Raise the selected corner of the currently marked Area.
"
"nav_corner_select
","Select a corner of the currently marked Area. Use multiple times to access all four corners.
"
"nav_crouch
","Toggles the 'must crouch in this area' flag used by the AI system.
"
"nav_delete
","Deletes the currently highlighted Area.
"
"nav_delete_marked
","Deletes the currently marked Area (if any).
"
"nav_disconnect
","To disconnect two Areas, mark an Area, highlight a second Area, then invoke the disconnect command. This will remove all connec
"
"nav_dont_hide
","Toggles the 'area is not suitable for hiding spots' flag used by the AI system.
"
"nav_end_area
","Defines the second corner of a new Area or Ladder and creates it.
"
"nav_end_deselecting
","Stop continuously removing from the selected set.
"
"nav_end_drag_deselecting
","Stop dragging a selection area.
"
"nav_end_drag_selecting
","Stop dragging a selection area.
"
"nav_end_selecting
","Stop continuously adding to the selected set.
"
"nav_end_shift_xy
","Finish shifting the Selected Set.
"
"nav_flood_select
","Selects the current Area and all Areas connected to it, recursively. To clear a selection, use this command again.
"
"nav_gen_cliffs_approx
","Mark cliff areas, post-processing approximation
"
"nav_generate
","Generate a Navigation Mesh for the current map and save it to disk.
"
"nav_generate_incremental
","Generate a Navigation Mesh for the current map and save it to disk.
"
"nav_jump
","Toggles the 'traverse this area by jumping' flag used by the AI system.
"
"nav_ladder_flip
","Flips the selected ladder's direction.
"
"nav_load
","Loads the Navigation Mesh for the current map.
"
"nav_lower_drag_volume_max
","Lower the top of the drag select volume.
"
"nav_lower_drag_volume_min
","Lower the bottom of the drag select volume.
"
"nav_make_sniper_spots
","Chops the marked area into disconnected sub-areas suitable for sniper spots.
"
"nav_mark
","Marks the Area or Ladder under the cursor for manipulation by subsequent editing commands.
"
"nav_mark_attribute
","Set nav attribute for all areas in the selected set.
"
"nav_mark_unnamed
","Mark an Area with no Place name. Useful for finding stray areas missed when Place Painting.
"
"nav_mark_walkable
","Mark the current location as a walkable position. These positions are used as seed locations when sampling the map to generate
"
"nav_merge
","To merge two Areas into one, mark the first Area, highlight the second by pointing your cursor at it, and invoke the merge comm
"
"nav_merge_mesh
","Merges a saved selected set into the current mesh.
"
"nav_no_hostages
","Toggles the 'hostages cannot use this area' flag used by the AI system.
"
"nav_no_jump
","Toggles the 'dont jump in this area' flag used by the AI system.
"
"nav_place_floodfill
","Sets the Place of the Area under the cursor to the curent Place, and 'flood-fills' the Place to all adjacent Areas. Flood-filli
"
"nav_place_list
","Lists all place names used in the map.
"
"nav_place_pick
","Sets the current Place to the Place of the Area under the cursor.
"
"nav_place_replace
","Replaces all instances of the first place with the second place.
"
"nav_place_set
","Sets the Place of all selected areas to the current Place.
"
"nav_precise
","Toggles the 'dont avoid obstacles' flag used by the AI system.
"
"nav_raise_drag_volume_max
","Raise the top of the drag select volume.
"
"nav_raise_drag_volume_min
","Raise the bottom of the drag select volume.
"
"nav_recall_selected_set
","Re-selects the stored selected set.
"
"nav_remove_from_selected_set
","Remove current area from the selected set.
"
"nav_remove_jump_areas
","Removes legacy jump areas, replacing them with connections.
"
"nav_run
","Toggles the 'traverse this area by running' flag used by the AI system.
"
"nav_save
","Saves the current Navigation Mesh to disk.
"
"nav_save_selected
","Writes the selected set to disk for merging into another mesh via nav_merge_mesh.
"
"nav_select_blocked_areas
","Adds all blocked areas to the selected set
"
"nav_select_damaging_areas
","Adds all damaging areas to the selected set
"
"nav_select_half_space
","Selects any areas that intersect the given half-space.
"
"nav_select_invalid_areas
","Adds all invalid areas to the Selected Set.
"
"nav_select_obstructed_areas
","Adds all obstructed areas to the selected set
"
"nav_select_overlapping
","Selects nav areas that are overlapping others.
"
"nav_select_radius
","Adds all areas in a radius to the selection set
"
"nav_select_stairs
","Adds all stairway areas to the selected set
"
"nav_set_place_mode
","Sets the editor into or out of Place mode. Place mode allows labelling of Area with Place names.
"
"nav_shift
","Shifts the selected areas by the specified amount
"
"nav_simplify_selected
","Chops all selected areas into their component 1x1 areas and re-merges them together into larger areas
"
"nav_splice
","To splice, mark an area, highlight a second area, then invoke the splice command to create a new, connected area between them.
"
"nav_split
","To split an Area into two, align the split line using your cursor and invoke the split command.
"
"nav_stand
","Toggles the 'stand while hiding' flag used by the AI system.
"
"nav_stop
","Toggles the 'must stop when entering this area' flag used by the AI system.
"
"nav_store_selected_set
","Stores the current selected set for later retrieval.
"
"nav_strip
","Strips all Hiding Spots, Approach Points, and Encounter Spots from the current Area.
"
"nav_subdivide
","Subdivides all selected areas.
"
"nav_test_stairs
","Test the selected set for being on stairs
"
"nav_toggle_deselecting
","Start or stop continuously removing from the selected set.
"
"nav_toggle_in_selected_set
","Remove current area from the selected set.
"
"nav_toggle_place_mode
","Toggle the editor into and out of Place mode. Place mode allows labelling of Area with Place names.
"
"nav_toggle_place_painting
","Toggles Place Painting mode. When Place Painting, pointing at an Area will 'paint' it with the current Place.
"
"nav_toggle_selected_set
","Toggles all areas into/out of the selected set.
"
"nav_toggle_selecting
","Start or stop continuously adding to the selected set.
"
"nav_transient
","Toggles the 'area is transient and may become blocked' flag used by the AI system.
"
"nav_unmark
","Clears the marked Area or Ladder.
"
"nav_update_blocked
","Updates the blocked/unblocked status for every nav area.
"
"nav_update_lighting
","Recomputes lighting values
"
"nav_use_place
","If used without arguments, all available Places will be listed. If a Place argument is given, the current Place is set.
"
"nav_walk
","Toggles the 'traverse this area by walking' flag used by the AI system.
"
"nav_warp_to_mark
","Warps the player to the marked area.
"
"nav_world_center
","Centers the nav mesh in the world
"
"net_channels
","Shows net channel info
"
"net_connections_stats
","Print detailed network statistics for each network connection
"
"net_dumpeventstats
","Dumps out a report of game event network usage
"
"net_start
","Inits multiplayer network sockets
"
"net_status
","Shows current network status
"
"net_steamcnx_status
","Print status of steam connection sockets.
"
"nextdemo
","Play next demo in sequence.
"
"noclip
","Toggle. Player becomes non-solid and flies.  Optional argument of 0 or 1 to force enable/disable
"
"notarget
","Toggle. Player becomes hidden to NPCs.
"
"npc_ammo_deplete
","Subtracts half of the target's ammo
"
"npc_bipass
","Displays the local movement attempts by the given NPC(s) (triangulation detours).  Failed bypass routes are displayed in red, s
"
"npc_combat
","Displays text debugging information about the squad and enemy of the selected NPC  (See Overlay Text)
	Arguments:   	{npc_name}

"
"npc_conditions
","Displays all the current AI conditions that an NPC has in the overlay text.
	Arguments:   	{npc_name} / {npc class_name} / no a

"
"npc_create
","Creates an NPC of the given type where the player is looking (if the given NPC can actually stand at that location).
	Argumen

"
"npc_create_aimed
","Creates an NPC aimed away from the player of the given type where the player is looking (if the given NPC can actually stand at
"
"npc_destroy
","Removes the given NPC(s) from the universe
Arguments:   	{npc_name} / {npc_class_name} / no argument picks what player is looki

"
"npc_destroy_unselected
","Removes all NPCs from the universe that aren't currently selected
"
"npc_enemies
","Shows memory of NPC.  Draws an X on top of each memory.
	Eluded entities drawn in blue (don't know where it went)
	Unreachable 

"
"npc_focus
","Displays red line to NPC's enemy (if has one) and blue line to NPC's target entity (if has one)
	Arguments:   	{npc_name} / {np

"
"npc_freeze
","Selected NPC(s) will freeze in place (or unfreeze). If there are no selected NPCs, uses the NPC under the crosshair.
	Arguments

"
"npc_freeze_unselected
","Freeze all NPCs not selected
"
"npc_go
","Selected NPC(s) will go to the location that the player is looking (shown with a purple box)
	Arguments:	-none-

"
"npc_go_random
","Sends all selected NPC(s) to a random node.
	Arguments:   	-none-

"
"npc_heal
","Heals the target back to full health
"
"npc_kill
","Kills the given NPC(s)
Arguments:   	{npc_name} / {npc_class_name} / no argument picks what player is looking at

"
"npc_nearest
","Draw's a while box around the NPC(s) nearest node
	Arguments:   	{entity_name} / {class_name} / no argument picks what player i

"
"npc_relationships
","Displays the relationships between this NPC and all others.
	Arguments:   	{entity_name} / {class_name} / no argument picks wha

"
"npc_reset
","Reloads schedules for all NPC's from their script files
	Arguments:	-none-

"
"npc_route
","Displays the current route of the given NPC as a line on the screen.  Waypoints along the route are drawn as small cyan rectang
"
"npc_select
","Select or deselects the given NPC(s) for later manipulation.  Selected NPC's are shown surrounded by a red translucent box
	Arg

"
"npc_set_freeze
","Selected NPC(s) will freeze in place (or unfreeze). If there are no selected NPCs, uses the NPC under the crosshair.
	Arguments

"
"npc_set_freeze_unselected
","Freeze all NPCs not selected
"
"npc_squads
","Obsolete.  Replaced by npc_combat
"
"npc_steering
","Displays the steering obstructions of the NPC (used to perform local avoidance)
	Arguments:   	{entity_name} / {class_name} / n

"
"npc_steering_all
","Displays the steering obstructions of all NPCs (used to perform local avoidance)


"
"npc_task_text
","Outputs text debugging information to the console about the all the tasks + break conditions of the selected NPC current schedu
"
"npc_tasks
","Displays detailed text debugging information about the all the tasks of the selected NPC current schedule (See Overlay Text)
	A

"
"npc_teleport
","Selected NPC will teleport to the location that the player is looking (shown with a purple box)
	Arguments:	-none-

"
"npc_thinknow
","Trigger NPC to think
"
"npc_viewcone
","Displays the viewcone of the NPC (where they are currently looking and what the extents of there vision is)
	Arguments:   	{ent

"
"observer_use
","
"
"occlusion_stats
","Occlusion statistics; [-jitter] [-reset]
"
"parachute
","equips parachute
"
"particle_test_start
","Dispatches the test particle system with the parameters specified in particle_test_file,
particle_test_attach_mode and particl

"
"particle_test_stop
","Stops all particle systems on the selected entities.
	Arguments:   	{entity_name} / {class_name} / no argument picks what playe

"
"path
","Show the engine filesystem path.
"
"pause
","Toggle the server pause state.
"
"perfui
","Show/hide the level performance tools UI.
"
"perfvisualbenchmark
","
"
"perfvisualbenchmark_abort
","
"
"physics_budget
","Times the cost of each active object
"
"physics_constraints
","Highlights constraint system graph for an entity
"
"physics_debug_entity
","Dumps debug info for an entity
"
"physics_highlight_active
","Turns on the absbox for all active physics objects
"
"physics_report_active
","Lists all active physics objects
"
"physics_select
","Dumps debug info for an entity
"
"pick_hint
","
"
"picker
","Toggles 'picker' mode.  When picker is on, the bounding box, pivot and debugging text is displayed for whatever entity the play
"
"ping
","Display ping to server.
"
"pixelvis_debug
","Dump debug info
"
"play
","Play a sound.
"
"play_hrtf
","Play a sound with HRTF spatialization.
"
"playcast
","Play a broadcast
"
"playdemo
","Play a recorded demo file (.dem ).
"
"player_ping
","Creates a ping notification where the player is looking.
"
"playflush
","Play a sound, reloading from disk in case of changes.
"
"playgamesound
","Play a sound from the game sounds txt file
"
"playsoundscape
","Forces a soundscape to play
"
"playvideo
","Plays a video: <filename> [width height]
"
"playvideo_end_level_transition
","Plays a video fullscreen without ability to skip (unless dev 1) and fades in: <filename> 
"
"playvideo_exitcommand
","Plays a video and fires and exit command when it is stopped or finishes: <filename> <exit command>
"
"playvideo_exitcommand_nointerrupt
","Plays a video (without interruption) and fires and exit command when it is stopped or finishes: <filename> <exit command>
"
"playvideo_nointerrupt
","Plays a video without ability to skip: <filename> [width height]
"
"playvol
","Play a sound at a specified volume.
"
"plugin_load
","plugin_load <filename> : loads a plugin
"
"plugin_pause
","plugin_pause <index> : pauses a loaded plugin
"
"plugin_pause_all
","pauses all loaded plugins
"
"plugin_print
","Prints details about loaded plugins
"
"plugin_unload
","plugin_unload <index> : unloads a plugin
"
"plugin_unpause
","plugin_unpause <index> : unpauses a disabled plugin
"
"plugin_unpause_all
","unpauses all disabled plugins
"
"press_x360_button
","Press the specified Xbox 360 controller button (lt, rt, st[art], ba[ck], lb, rb, a, b, x, y, l[eft], r[right], u[p], d[own])
"
"print_colorcorrection
","Display the color correction layer information.
"
"print_mapgroup
","Prints the current mapgroup and the contained maps
"
"print_mapgroup_sv
","Prints the current mapgroup and the contained maps
"
"progress_enable
","
"
"prop_crosshair
","Shows name for prop looking at
"
"prop_debug
","Toggle prop debug mode. If on, props will show colorcoded bounding boxes. Red means ignore all damage. White means respond phys
"
"prop_dynamic_create
","Creates a dynamic prop with a specific .mdl aimed away from where the player is looking.
	Arguments: {.mdl name}

"
"prop_physics_create
","Creates a physics prop with a specific .mdl aimed away from where the player is looking.
	Arguments: {.mdl name}

"
"'-quickinv'
","
"
"'+quickinv'
","
"
"quit
","Exit the engine.
"
"quit_prompt
","Exit the engine.
"
"r_cheapwaterend
","
"
"r_cheapwaterstart
","
"
"r_cleardecals
","Usage r_cleardecals <permanent>.
"
"r_flushlod
","Flush and reload LODs.
"
"r_lightcache_invalidate
","
"
"r_printdecalinfo
","
"
"r_ropes_holiday_light_color
","Set each light's color: [light0-3] [r0-255] [g0-255] [b0-255]
"
"r_screenoverlay
","Draw specified material as an overlay
"
"r_shadowangles
","Set shadow angles
"
"r_shadowblobbycutoff
","some shadow stuff
"
"r_shadowcolor
","Set shadow color
"
"r_shadowdir
","Set shadow direction
"
"r_shadowdist
","Set shadow distance
"
"radio
","Opens a radio menu
"
"radio1
","Opens a radio menu
"
"radio2
","Opens a radio menu
"
"radio3
","Opens a radio menu
"
"rangefinder
","rangefinder
"
"rcon
","Issue an rcon command.
"
"rebuy
","Attempt to repurchase items with the order listed in cl_rebuy
"
"recompute_speed
","Recomputes clock speed (for debugging purposes).
"
"record
","Record a demo.
"
"reload
","Reload the most recent saved game (add setpos to jump to current view position on reload).
"
"'+reload'
","
"
"'-reload'
","
"
"reload_store_config
","
"
"reload_vjobs
","reload vjobs module
"
"removeallids
","Remove all user IDs from the ban list.
"
"removeid
","Remove a user ID from the ban list.
"
"removeip
","Remove an IP address from the ban list.
"
"render_blanks
","render N blank frames
"
"replay_death
","start hltv replay of last death
"
"replay_start
","Start GOTV replay: replay_start <delay> [<player name or index>]
"
"replay_stop
","stop hltv replay
"
"report_entities
","Lists all entities
"
"report_simthinklist
","Lists all simulating/thinking entities
"
"report_soundpatch
","reports sound patch count
"
"report_touchlinks
","Lists all touchlinks
"
"reset_expo
","Reset player scores, player controls, team scores, and end the round
"
"reset_gameconvars
","Reset a bunch of game convars to default values
"
"respawn_entities
","Respawn all the entities in the map.
"
"restart
","Restart the game on the same level (add setpos to jump to current view position on restart).
"
"retry
","Retry connection to last server.
"
"'+right'
","
"
"'-right'
","
"
"rr_forceconcept
","fire a response concept directly at a given character.
USAGE: rr_forceconcept <target> <concept> 'criteria1:value1,criteria2:va

"
"rr_reloadresponsesystems
","Reload all response system scripts.
"
"save
","Saves current game.
"
"save_finish_async
","
"
"say
","Display player message
"
"say_team
","Display player message to team
"
"scandemo
","Scan a recorded demo file (.dem ) for specific game events and dump data.
"
"scene_flush
","Flush all .vcds from the cache and reload from disk.
"
"scene_playvcd
","Play the given VCD as an instanced scripted scene.
"
"'+score'
","
"
"'-score'
","
"
"screenshot
","Take a screenshot.
"
"script
","Run the text as a script
"
"script_client
","Run the text as a script
"
"script_debug
","Connect the vscript VM to the script debugger
"
"script_debug_client
","Connect the vscript VM to the script debugger
"
"script_dump_all
","Dump the state of the VM to the console
"
"script_dump_all_client
","Dump the state of the VM to the console
"
"script_execute
","Run a vscript file
"
"script_execute_client
","Run a vscript file
"
"script_help
","Output help for script functions, optionally with a search string
"
"script_help_client
","Output help for script functions, optionally with a search string
"
"script_reload_code
","Execute a vscript file, replacing existing functions with the functions in the run script
"
"script_reload_entity_code
","Execute all of this entity's VScripts, replacing existing functions with the functions in the run scripts
"
"script_reload_think
","Execute an activation script, replacing existing functions with the functions in the run script
"
"server_game_time
","Gives the game time in seconds (server's curtime)
"
"setang
","Snap player eyes to specified pitch yaw <roll:optional> (must have sv_cheats).
"
"setang_exact
","Snap player eyes and orientation to specified pitch yaw <roll:optional> (must have sv_cheats).
"
"setinfo
","Adds a new user info value
"
"setmodel
","Changes's player's model
"
"setpause
","Set the pause state of the server.
"
"setpos
","Move player to specified origin (must have sv_cheats).
"
"setpos_exact
","Move player to an exact specified origin (must have sv_cheats).
"
"setpos_player
","Move specified player to specified origin (must have sv_cheats).
"
"shake
","Shake the screen.
"
"shake_stop
","Stops all active screen shakes.


"
"shake_testpunch
","Test a punch-style screen shake.


"
"show_loadout_toggle
","Toggles loadout display
"
"'+showbudget'
","
"
"'-showbudget'
","
"
"'-showbudget_texture'
","
"
"'+showbudget_texture'
","
"
"'-showbudget_texture_global'
","
"
"'+showbudget_texture_global'
","
"
"showbudget_texture_global_dumpstats
","Dump all items in +showbudget_texture_global in a text form
"
"showconsole
","Show the console.
"
"showinfo
","Shows a info panel: <type> <title> <message> [<command number>]
"
"showpanel
","Shows a viewport panel <name>
"
"'-showscores'
","
"
"'+showscores'
","
"
"showtriggers_toggle
","Toggle show triggers
"
"'-showvprof'
","
"
"'+showvprof'
","
"
"skip_next_map
","Skips the next map in the map rotation for the server.
"
"slot0
","
"
"slot1
","
"
"slot10
","
"
"slot11
","
"
"slot12
","
"
"slot13
","
"
"slot2
","
"
"slot3
","
"
"slot4
","
"
"slot5
","
"
"slot6
","
"
"slot7
","
"
"slot8
","
"
"slot9
","
"
"snapto
","
"
"snd_async_flush
","Flush all unlocked async audio data
"
"snd_async_showmem
","Show async memory stats
"
"snd_async_showmem_music
","Show async memory stats for just non-streamed music
"
"snd_async_showmem_summary
","Show brief async memory stats
"
"snd_dump_filepaths
","
"
"snd_dumpclientsounds
","Dump sounds to console
"
"snd_front_headphone_position
","Specifies the position (in degrees) of the virtual front left/right headphones.
"
"snd_front_stereo_speaker_position
","Specifies the position (in degrees) of the virtual front left/right speakers.
"
"snd_front_surround_speaker_position
","Specifies the position (in degrees) of the virtual front left/right speakers.
"
"snd_getmixer
","Get data related to mix group matching string
"
"snd_headphone_pan_exponent
","Specifies the exponent for the pan xfade from phone to phone if the 'exp' pan law is being used.
"
"snd_headphone_pan_radial_weight
","Apply cos(angle) * weight before pan law
"
"snd_playsounds
","Play sounds from the game sounds txt file at a given location
"
"snd_print_channel_by_guid
","Prints the content of a channel from its guid. snd_print_channel_by_guid <guid>.
"
"snd_print_channel_by_index
","Prints the content of a channel from its index. snd_print_channel_by_index <index>.
"
"snd_print_channels
","Prints all the active channel.
"
"snd_print_dsp_effect
","Prints the content of a dsp effect.
"
"snd_rear_headphone_position
","Specifies the position  (in degrees) of the virtual rear left/right headphones.
"
"snd_rear_stereo_speaker_position
","Specifies the position (in degrees) of the virtual rear left/right speakers.
"
"snd_rear_surround_speaker_position
","Specifies the position (in degrees) of the virtual rear left/right speakers.
"
"snd_restart
","Restart sound system.
"
"snd_set_master_volume
","Sets the master volume for a channel. snd_set_master_volume <guid> <mastervolume>.
"
"snd_setmixer
","Set named Mixgroup of current mixer to mix vol, mute, solo.
"
"snd_setmixlayer
","Set named Mixgroup of named mix layer to mix vol, mute, solo.
"
"snd_setmixlayer_amount
","Set named mix layer mix amount.
"
"snd_sos_flush_operators
","Flush and re-parse the sound operator system
"
"snd_sos_print_operators
","Prints a list of currently available operators
"
"snd_soundmixer_flush
","Reload soundmixers.txt file.
"
"snd_soundmixer_list_mix_groups
","List all mix groups to dev console.
"
"snd_soundmixer_list_mix_layers
","List all mix layers to dev console.
"
"snd_soundmixer_list_mixers
","List all mixers to dev console.
"
"snd_soundmixer_set_trigger_factor
","Set named mix layer / mix group, trigger amount.
"
"snd_stereo_speaker_pan_exponent
","Specifies the exponent for the pan xfade from speaker to speaker if the 'exp' pan law is being used.
"
"snd_stereo_speaker_pan_radial_weight
","Apply cos(angle) * weight before pan law
"
"snd_surround_speaker_pan_exponent
","Specifies the exponent for the pan xfade from speaker to speaker if the 'exp' pan law is being used.
"
"snd_surround_speaker_pan_radial_weight
","Apply cos(angle) * weight before pan law
"
"snd_writemanifest
","If running a game, outputs the precache manifest for the current level


"
"sndplaydelay
","
"
"sound_device_list
","Lists all available audio devices.
"
"soundfade
","Fade client volume.
"
"soundinfo
","Describe the current sound device.
"
"soundlist
","List all known sounds.
"
"soundscape_dumpclient
","Dumps the client's soundscape data.


"
"soundscape_flush
","Flushes the server & client side soundscapes
"
"speak
","Play a constructed sentence.
"
"spec_cameraman_set_xray
","Client command to change the whether the spectator is using the cameraman's X-ray state, if they are active, or let the spectat
"
"spec_goto
","Move spectator to specified origin and eyes to specified pitch yaw.
"
"spec_gui
","Shows or hides the spectator bar
"
"spec_lerpto
","Lerp the spectator camera to specified origin and eyes to specified pitch yaw.
"
"spec_menu
","Activates spectator menu
"
"spec_mode
","Set spectator mode
"
"spec_next
","Spectate next player
"
"spec_player
","Spectate player by index
"
"spec_player_by_accountid
","Spectate player by Steam account ID
"
"spec_player_by_name
","Spectate player by name
"
"spec_pos
","dump position and angles to the console
"
"spec_prev
","Spectate previous player ( valid values are 3 to 6 )
"
"'+speed'
","
"
"'-speed'
","
"
"spike
","generates a fake spike
"
"spincycle
","Cause the engine to spincycle (Debug!!)
"
"'+spray_menu'
","
"
"'-spray_menu'
","
"
"ss_map
","Start playing on specified map with max allowed splitscreen players.
"
"ss_reloadletterbox
","ss_reloadletterbox
"
"star_memory
","Dump memory stats
"
"startdemos
","Play demos in demo sequence.
"
"startmovie
","Start recording movie frames.
"
"startupmenu
","Opens initial menu screen and loads the background bsp, but only if no other level is being loaded, and we're not in developer
"
"stats
","Prints server performance variables
"
"status
","Display map and connection status.
"
"steam_controller_status
","Spew report of steam controller status
"
"stop
","Finish recording demo.
"
"stop_transition_videos_fadeout
","Fades out all transition videos playing to the screen: 
"
"stopdemo
","Stop playing back a demo.
"
"stopsound
","
"
"stopsoundscape
","Stops all soundscape processing and fades current looping sounds
"
"stopvideos
","Stops all videos playing to the screen
"
"stopvideos_fadeout
","Fades out all videos playing to the screen: 
"
"'+strafe'
","
"
"'-strafe'
","
"
"stringtabledictionary
","Create dictionary for current strings.
"
"stuffcmds
","Parses and stuffs command line + commands to command buffer.
"
"surfaceprop
","Reports the surface properties at the cursor
"
"survival_check_num_possible_final_zone
","print out a number of all possible final zone
"
"sv_benchmark_force_start
","Force start the benchmark. This is only for debugging. It's better to set sv_benchmark to 1 and restart the level.
"
"sv_clearhinthistory
","Clear memory of server side hints displayed to the player.
"
"sv_cs_dump_econ_item_stringtable
","sv_cs_dump_econ_item_stringtable
"
"sv_dump_class_info
","Dump server class infos.
"
"sv_dump_class_table
","Dump server class table matching the pattern (substr).
"
"sv_dump_serialized_entities_mem
","Dump serialized entity allocations stats.
"
"sv_dz_paradrop
","
"
"sv_dz_reset_danger_zone
","
"
"sv_game_mode_convars
","Display the values of the convars for the current game_mode.
"
"sv_getinfo
","Show user info of a connected client
"
"sv_load_forced_client_names_file
","Loads a file containing SteamID64 names for clients
"
"sv_load_random_client_names_file
","Loads a file containing random name words for clients
"
"sv_precacheinfo
","Show precache info.
"
"sv_pure
","Show user data.
"
"sv_pure_checkvpk
","CheckPureServerVPKFiles
"
"sv_pure_finduserfiles
","ListPureServerFiles
"
"sv_pure_listfiles
","ListPureServerFiles
"
"sv_pure_listuserfiles
","ListPureServerFiles
"
"sv_querycache_stats
","Display status of the query cache (client only)
"
"sv_rethrow_last_grenade
","Emit the last grenade thrown on the server.
"
"sv_send_stats
","show stats of running parallel send
"
"sv_setsteamaccount
","token
Set game server account token to use for logging in to a persistent game server account

"
"sv_showtags
","Describe current gametags.
"
"sv_shutdown
","Sets the server to shutdown when all games have completed
"
"sv_soundemitter_reload
","Flushes the sounds.txt system
"
"sv_soundscape_printdebuginfo
","print soundscapes
"
"teammenu
","Show team selection window
"
"test_dispatcheffect
","Test a clientside dispatch effect.
	Usage: test_dispatcheffect <effect name> <distance away> <flags> <magnitude> <scale>
	Defau

"
"Test_EHandle
","
"
"test_entity_blocker
","Test command that drops an entity blocker out in front of the player.
"
